餐廳名稱,Ranking,評論數,餐廳類型,餐廳區域,電話,地址
全國食養健康素食自助餐 大安復興店,3.9,557,素食料理,台北市大安區,02 2736 1168,106台北市大安區復興南路二段314號
鳥人拉麵-台灣總店TOTTO Ramen,4.2,"3,065",拉麵,台北市大安區,02 2778 9866,106台北市大安區復興南路一段107巷5弄9號
薩莉亞 師範大學店,3.9,"2,434",意大利菜,台北市大安區,02 2322 3422,106台北市大安區和平東路一段129-1號
橫濱家系ラーメン大和家,4.2,"3,497",拉麵,台北市大安區,02 2771 8810,106台北市大安區市民大道四段12號
長白小館,4.1,936,火鍋,台北市大安區,02 2751 3525,106台北市大安區光復南路240巷53號
品軒樓,4.0,117,中國菜,台北市大安區,02 2365 1122,106台北市大安區羅斯福路四段1號台大校園內卓越聯合中心
江家牛肉麵永和豆漿(光復店),3.7,"1,634",中國菜,台北市大安區,02 2772 0642,106台北市大安區光復南路240巷1號
卡奈基餐廳,3.9,"1,300",酒吧,台北市大安區,02 2325 4433,106台北市大安區安和路二段100號
格里歐's三明治 & 沙拉,3.7,185,三文治,台北市大安區,02 2778 0662,106台北市大安區延吉街137巷31號
Café Costumice,4.2,837,咖啡廳,台北市大安區,02 2711 8086,106台北市大安區忠孝東路四段223巷71弄6號1樓
彩虹座(自助餐) Rainbow Terrace-台北福華大飯店,4.0,315,自助餐廳,台北市大安區,02 2326 7429,106台北市大安區仁愛路三段160號1F
永康牛肉麵,3.8,"7,504",中式麵食,台北市大安區,02 2351 1051,106台北市大安區金山南路二段31巷17號
女九餐廳,4.1,319,自助餐廳,台北市大安區,02 2366 0622,106台北市大安區羅斯福路四段1號
神旺大飯店 サンワンホテル台北,4.0,"2,954",酒店,台北市大安區,02 2772 2121,106台北市大安區忠孝東路四段172號
Roots Cafe仁愛店,3.6,409,咖啡店,台北市大安區,02 2711 1256,106台北市大安區仁愛路四段101號2樓
讀貓園中途咖啡簡餐廳,4.2,199,咖啡店,台北市大安區,02 2736 9898,106台北市大安區和平東路三段370號2樓
台北福華大飯店The Howard Plaza Hotel Taipei,4.2,"7,058",酒店,台北市大安區,02 2700 2323,106台北市大安區仁愛路三段160號
咖朵咖啡,4.2,"1,215",咖啡廳,台北市大安區,02 2721 8895,10691台北市大安區敦化南路一段190巷16號
FOGO GastroBar,4.9,203,西部料理,台北市萬華區,0901 460 648,108台北市萬華區萬大路315號
Cuisine無菜單料理台北無菜單料理台北私廚,4.9,30,餐廳,台北市萬華區,0919 005 538,10855台北市萬華區和平西路三段
吃吧餐廳 chiba,4.0,610,現代美式料理,台北市萬華區,02 2375 2075,108台北市萬華區武昌街二段77號5樓
Oyami Cafe,4.5,"2,470",餐廳,台北市萬華區,02 2311 1127,108台北市萬華區武昌街二段50巷15號2樓
鐵 F.f Teppanyaki 鐵板燒 (萬華店),4.6,261,鐵板燒,台北市萬華區,0908 688 087,108台北市萬華區萬大路486巷16號
家宴中餐廳(凱達大飯店),4.4,543,中國菜,台北市萬華區,02 2383 6798,108台北市萬華區艋舺大道167號
Meat Up｜8/6起恢復內用,4.5,"5,276",現代美式料理,台北市萬華區,0908 198 398,108台北市萬華區武昌街二段37號6樓
Stan & Cat 史丹貓美式餐廳 西門店,4.4,"1,414",美國菜,台北市萬華區,02 2311 2550,108台北市萬華區昆明街138號
小牛匠餐廳 (西門店),4.0,"2,340",餐廳,台北市萬華區,02 2375 1158,108台北市萬華區西寧南路117號2樓
喜舍居酒屋,4.6,242,餐廳,台北市萬華區,02 2332 1868,108台北市萬華區東園街68-1號
星庭園精緻風味洋食坊,4.4,935,食堂與定食餐廳,台北市萬華區,02 2370 1298,108台北市萬華區漢口街二段53巷6號
鐵 F.f Teppanyaki 鐵板燒 (西門店),4.7,132,鐵板燒,台北市萬華區,0908 688 087,108台北市萬華區西昌街49號
嵐山食肆,4.4,282,壽司,台北市萬華區,02 2311 1183,108台北市萬華區成都路123號
西門魚河岸居酒屋,4.5,240,餐廳,台北市萬華區,02 2381 5856,108台北市萬華區開封街二段56號
TGI FRIDAYS 星期五美式餐廳 西門餐廳,4.1,"2,113",傳統美式料理,台北市萬華區,02 2388 0679,108台北市萬華區武昌街二段72號2樓
兩喜號 Liang Xi Hao - 西園店,4.0,"2,204",餐廳,台北市萬華區,02 2336 1129,108台北市萬華區西園路一段194號
ACME Breakfast CLUB,4.1,"1,551",早午餐,台北市萬華區,02 6617 0557,108台北市萬華區成都路27巷10號3樓
天天利美食坊,4.1,"4,411",台灣菜,台北市萬華區,02 2375 6299,108台北市萬華區漢中街32巷1號
上官木桶鍋 萬華旗艦店-源自蘆洲正官,4.5,812,涮涮鍋,台北市萬華區,02 2302 6762,10851台北市萬華區南寧路68號
尚品屋精制鍋物-萬大店,4.9,"2,275",火鍋,台北市萬華區,02 2304 5858,108台北市萬華區萬大路423巷54號
呷食益(Just Eat 中華店),4.3,"1,255",日式燒肉,台北市萬華區,02 2306 9648,108台北市萬華區艋舺大道77號
Last Order 餐酒館,4.5,760,餐廳,台北市萬華區,02 2382 2789,108台北市萬華區漢口街二段75-1號
流金歲月紅茶餐坊,3.9,620,餐廳,台北市萬華區,02 2332 6106,108台北市萬華區青年路26號
藏賀岩燒牛排,4.4,367,餐廳,台北市萬華區,02 2338 0266,108台北市萬華區和平西路三段178號
艋舺熱海 海鮮餐廳,3.9,745,海鮮,台北市萬華區,02 2306 3797,108台北市萬華區和平西路三段162號
艾叻沙西門町創始店,4.2,"2,372",馬來西亞菜,台北市萬華區,02 2383 2570,108台北市萬華區中華路一段124號
嗑火鍋吃到飽-EAT HOT POT,4.6,"3,704",火鍋,台北市萬華區,02 2388 8866,108台北市萬華區漢中街42號4樓
好吃當歸鴨,4.4,481,餐廳,台北市萬華區,02 2339 6842,108台北市萬華區萬大路494號
海味豐海產店,4.5,611,海鮮,台北市萬華區,02 2375 8504,108台北市萬華區內江街140-2號
萬華海鮮粥舖,4.0,400,粥餐廳,台北市萬華區,NA,10841台北市萬華區昆明街274號
我!就厲害燒烤西門珍饌店,4.5,"5,141",燒烤,台北市萬華區,02 2331 5527,108台北市萬華區漢中街127號5F
友谷涮涮鍋,4.7,264,涮涮鍋,台北市萬華區,02 2307 8465,108台北市萬華區萬大路456號
肉次方 燒肉放題 西門峨眉店,4.5,"1,814",日式燒肉,台北市萬華區,02 2388 9010,108台北市萬華區峨眉街37號4樓
木屐桑壽司屋,4.2,200,壽司,台北市萬華區,02 2308 8995,108台北市萬華區西園路二段140巷9號
和蒝鍋物-西門平價火鍋|萬華必吃火鍋|聚餐美食|推薦火鍋,5.0,34,火鍋,台北市萬華區,02 2375 9923,10844台北市萬華區峨嵋街84號號B1
旺都日式涮涮鍋,4.0,368,涮涮鍋,台北市萬華區,02 2308 8178,108台北市萬華區萬大路27號
櫻木食堂(桜木食堂）外帶外送專賣店 | 日本料理 | 日式便當,5.0,46,日本菜,台北市萬華區,02 2388 5770,108台北市萬華區開封街二段54號
華西街台南擔仔麵,4.2,416,台灣菜,台北市萬華區,02 2308 1123,108台北市萬華區華西街31號
天外天 X 夯麻辣 X 燒肉火鍋,4.4,"2,842",燒烤,台北市萬華區,02 2314 0018,108台北市萬華區昆明街76號2樓
祥發港式茶餐廳 西門店,3.7,"1,754",港式快餐店,台北市萬華區,02 2331 8556,108台北市萬華區漢中街35-1號
花嘴廚房,4.3,"3,404",早午餐,台北市萬華區,02 2361 6998,108台北市萬華區昆明街214-1號
AL REVÉS 餐廳 /顛倒restaurant,4.2,796,意大利菜,台北市萬華區,02 2375 1221,108台北市萬華區昆明街131號
小林英夫/台北美食/萬華美食/台北美食推薦/台北日本料理/西門町美食/台北推薦餐廳,4.4,"1,028",日本菜,台北市萬華區,02 2388 5233,108台北市萬華區康定路120號
復華川菜,3.8,216,四川料理,台北市萬華區,02 2306 2290,108台北市萬華區西藏路228號
黑肉醬宵夜點心,4.1,306,台灣菜,台北市萬華區,02 2332 0886,108台北市萬華區萬大路361號
三朵花炭火燒肉鍋物,3.9,"1,432",日式燒肉,台北市萬華區,02 2312 3336,108台北市萬華區峨眉街84號
蝦咪狼 手作.生鮮,5.0,11,餐廳,台北市萬華區,0987 297 236,108台北市萬華區東園街73巷98號
JAI宅 西門店,4.4,"1,247",餐廳,台北市萬華區,02 2371 7666,108台北市萬華區武昌街二段50巷10號2樓
妳有咖啡 neo cafe,4.1,680,咖啡廳,台北市萬華區,02 2370 5174,108台北市萬華區武昌街二段83-9號號 2F
187金巴黎餐廳,3.9,39,餐廳,台北市萬華區,NA,108台北市萬華區和平西路三段187號號
肉倉韓式烤肉,3.8,"2,640",韓式烤肉,台北市萬華區,02 2331 6767,"3樓, No. 92-1號昆明街萬華區台北市108"
麥當勞 - 昆明店,4.0,"3,016",快餐,台北市萬華區,02 2314 6526,108台北市萬華區昆明街92號
好日子義式餐坊,4.5,542,意大利菜,台北市萬華區,02 2305 6882,108台北市萬華區萬大路335號
『 兩餐 』 두끼 韓國年糕火鍋吃到飽-台灣首店西門店,4.0,"4,787",韓國菜,台北市萬華區,02 2311 9736,108台北市萬華區西寧南路123號4樓
楊排骨酥麵,3.9,"1,355",餐廳,台北市萬華區,02 2388 6488,108台北市萬華區漢口街二段17號
A.K.12 美式小館,4.3,"1,226",美國菜,台北市萬華區,02 2361 0136,108台北市萬華區峨嵋街12號2樓
暇以食日,4.6,189,餐廳,台北市萬華區,02 2332 2229,10874台北市萬華區長泰街47號
新港茶餐廳 (西門店),4.1,"2,698",粵式點心,台北市萬華區,02 2389 0505,108台北市萬華區漢中街52號7樓
便所主題餐廳 西門店,3.9,"3,134",西部料理,台北市萬華區,02 2311 8822,108台北市萬華區西寧南路50巷7號
漁村台灣料理,3.8,580,海鮮,台北市萬華區,02 2331 6262,108台北市萬華區長沙街二段62號
鐵 F.f Teppanyaki 鐵板燒 (西門店),4.7,132,鐵板燒,台北市萬華區,0908 688 087,108台北市萬華區西昌街49號
麥當勞-台北萬大二店,3.9,"1,600",快餐,台北市萬華區,02 2301 1161,108台北市萬華區萬大路215號
萬華水餃店,4.6,27,餐廳,台北市萬華區,02 2302 8552,108台北市萬華區西昌街245號
老蜀渝,4.2,70,餐廳,台北市萬華區,0912 246 648,108台北市萬華區東園街28巷51號
小小蔬房 Xiao Xiao Place,4.4,104,素食料理,台北市萬華區,02 2311 1168,108台北市萬華區漢口街二段125號
福讚牛家美食館(艋舺大道店),3.8,175,餐廳,台北市萬華區,02 2308 1958,108台北市萬華區艋舺大道388號
家吶子 台式居酒屋 Ka-la̍h-á,4.6,619,居酒屋,台北市萬華區,02 2339 3582,108台北市萬華區東園街68-4號
維記茶餐廳,3.5,"1,576",粵式點心,台北市萬華區,02 2382 6388,108台北市萬華區成都路27巷19號
樂崎火鍋-萬華店,4.8,"4,147",火鍋,台北市萬華區,02 2301 0621,108台北市萬華區東園街68號
西門魚河岸居酒屋,4.5,240,餐廳,台北市萬華區,02 2381 5856,108台北市萬華區開封街二段56號
暫停營業,4.2,279,港式快餐店,台北市萬華區,NA,108台北市萬華區和平西路三段61號
北港滷肉飯什錦湯,3.9,317,餐廳,台北市萬華區,02 2336 6775,108台北市萬華區西藏路462號
台北西門町意舍酒店,4.3,"1,531",餐廳,台北市萬華區,02 2375 5111,10843台北市萬華區武昌街二段77號
珍寶園餐廳,4.1,357,餐廳,台北市萬華區,02 2308 7123,108台北市萬華區環河南路二段308號
樂蓉 Love Zone,4.4,130,早午餐,台北市萬華區,02 2301 1152,108台北市萬華區東園街35巷12號
打狗霸 TAKAO1972 昆明店,4.1,"5,909",火鍋,台北市萬華區,02 2331 3677,108台北市萬華區昆明街46號
CURA PIZZA,4.7,"1,081",餐廳,台北市萬華區,02 2339 5877,108台北市萬華區東園街68-9號
美觀園日本料理,3.9,"4,024",日本菜,台北市萬華區,02 2331 0377,108台北市萬華區峨嵋街47號
Unwind 餐酒館 - 永安棧,4.6,85,餐廳,台北市萬華區,02 2331 3161,"108台北市萬華區1樓, No. 150 , 中華路一段"
麥當勞-台北西園二店,3.9,"1,490",快餐,台北市萬華區,02 2332 5640,108台北市萬華區西園路二段240號
牛哥沙茶牛肉,4.0,160,中國菜,台北市萬華區,02 2339 3276,108台北市萬華區寶興街75號
皇家帝國麻辣火鍋吃到飽,4.8,"13,812",火鍋,台北市萬華區,02 2314 9969,108台北市萬華區中華路一段192號
inn cafe 西門店,4.1,585,餐廳,台北市萬華區,02 2375 1212,108台北市萬華區成都路27巷8號
黔園川菜老店,4.0,553,四川料理,台北市萬華區,02 2389 2369,108台北市萬華區康定路25巷39號
清粥小菜,4.0,35,粥餐廳,台北市萬華區,NA,108台北市萬華區西園路二段96巷34號
肯德基,3.8,757,快餐,台北市萬華區,02 2339 6627,108台北市萬華區萬大路286號
Dejia得嘉野餐廚房,4.4,567,早午餐,台北市萬華區,02 2388 7518,108台北市萬華區昆明街278號
玖佰號 火鍋/烤豬五花 專門店,4.2,"2,152",燒烤,台北市萬華區,02 2305 2583,108台北市萬華區寶興街163號
美觀園(36號)台北城老舖,3.9,539,日本菜,台北市萬華區,02 2331 7000,108台北市萬華區峨眉街36號
衝丼,4.2,156,餐廳,台北市萬華區,02 2337 6668,108台北市萬華區東園街28巷50號 號 之 1 號
OMMA 壽喜燒/串·鍋物 專門店,4.3,375,涮涮鍋,台北市萬華區,02 2303 0355,108台北市萬華區寶興街202號
涵食堂,4.1,169,韓國菜,台北市萬華區,02 2307 0188,108台北市萬華區東園街87號
譽龍軒,4.1,150,港式快餐店,台北市萬華區,02 2308 4290,10855台北市萬華區和平西路三段200號
濟善老麵-台北拉麵/台北美食/萬華美食/新北美食/台北必吃/拉麵推薦/台北麵食,4.4,632,餐廳,台北市萬華區,02 2302 5833,108台北市萬華區艋舺大道120巷11弄1號
西門麵店,4.3,"2,871",麵店,台北市萬華區,02 2375 3712,108台北市萬華區內江街35號
華江川菜,3.9,146,四川料理,台北市萬華區,02 2302 2049,108台北市萬華區環河南路二段201號
麵屋獅心/拉麵/萬華美食/萬華區/湯頭濃郁/晚餐/,4.4,48,餐廳,台北市萬華區,0930 865 076,108台北市萬華區東園街43號
溫馨複合式餐飲,4.7,52,餐廳,台北市萬華區,02 2301 7727,108台北市萬華區寶興街99號1樓
我家川菜,4.1,321,四川料理,台北市萬華區,02 2375 3087,108台北市萬華區成都路105巷7號
艋舺阿龍,4.1,836,台灣菜,台北市萬華區,0987 887 440,108台北市萬華區大理街91巷13號
開開看江浙小吃店,4.1,765,浙菜/浙江菜館,台北市萬華區,02 2388 9997,108台北市萬華區漢中街147巷5號
施福建好吃雞肉,4.2,"2,712",雞肉,台北市萬華區,02 2388 3817,108台北市萬華區環河南路一段25巷4號
丸亀製麵 誠品生活西門店 烏龍麵專賣所,3.8,443,餐廳,台北市萬華區,080 000 0063,108台北市萬華區峨眉街54號2樓
新千葉火鍋-西門店,4.5,"6,071",火鍋,台北市萬華區,02 2331 7288,10844台北市萬華區峨眉街52號7樓
戀焗複合式焗烤屋,4.5,131,餐廳,台北市萬華區,02 2336 2010,108台北市萬華區雙園街21巷55號
霸味薑母鴨,4.1,922,台灣菜,台北市萬華區,02 2306 1506,108台北市萬華區艋舺大道182號
膳緣素食餐廳,4.4,18,素食料理,台北市萬華區,02 2301 8682,108台北市萬華區寶興街7號1樓
新來來水餃川菜館,4.0,"1,169",四川料理,台北市萬華區,02 2301 4528,108台北市萬華區青年路46號
林家御膳,4.1,493,牛扒,台北市萬華區,02 2311 0169,108台北市萬華區環河南路二段306號
家喱 香料咖喱 | WenDau Curry,4.9,21,餐廳,台北市萬華區,0968 915 359,108台北市萬華區東園街68-4號1樓
黔園川菜餐廳,4.0,613,四川料理,台北市萬華區,02 2314 8232,108台北市萬華區峨眉街88-1號
越窩越好 越式家庭手作料理,4.4,107,越南菜,台北市萬華區,0901 379 488,108台北市萬華區萬大路187巷1弄17號
媽寶涼麵。雞湯。滴雞精,4.6,245,冷麵店,台北市萬華區,0939 116 013,108台北市萬華區艋舺大道170號
來福號（萬華）,3.7,6,餐廳,台北市萬華區,NA,108台北市萬華區西寧南路6-1號
金獅樓,3.9,"2,977",廣東料理,台北市萬華區,02 2312 2675,108台北市萬華區西寧南路36號10樓
紅磡 港式飲茶婚宴會館 中華店,3.6,"1,836",廣東料理,台北市萬華區,02 2331 6789,108台北市萬華區中華路一段144號2F
凱達大飯店全日餐廳,4.1,34,餐廳,台北市萬華區,02 2306 6777,108台北市萬華區艋舺大道167號5 樓
中式早餐店,4.8,26,餐廳,台北市萬華區,0983 678 756,108台北市萬華區東園街28巷15號
Nahala 那哈拉泰式料理 水煙館,4.7,941,餐廳,台北市萬華區,02 2383 2618,108台北市萬華區西寧南路50巷3號2樓
味 牛肉麵專賣,4.8,101,餐廳,台北市萬華區,02 2307 9589,108台北市萬華區西園路二段308號
五木吉 日式豬排,4.5,154,日本菜,台北市萬華區,02 2332 9769,108台北市萬華區東園街24號
緯大雞排萬華店,4.0,98,餐廳,台北市萬華區,02 2303 2626,108台北市萬華區萬大路304號
丼作筷燒肉丼飯販賣店 台北萬華區中華店/丼飯/便當/快餐/客製化飯盒,4.6,513,日式燒肉,台北市萬華區,02 2302 9557,108台北市萬華區中華路二段30號1樓
御廚房 台北柳州店,3.9,102,餐廳,台北市萬華區,02 2302 7996,108台北市萬華區柳州街82號
真川味1店,3.9,"1,956",四川料理,台北市萬華區,02 2311 9908,108台北市萬華區康定路25巷42之1號
海鮮王餐廳,3.5,80,餐廳,台北市萬華區,02 2370 0002,108台北市萬華區西寧南路22-1號
古早味魯肉飯&黑白切,4.2,18,餐廳,台北市萬華區,NA,108台北市萬華區寶興街73號
林家快餐,4.2,80,餐廳,台北市萬華區,02 2304 7398,108台北市萬華區東園街66巷21弄No. 51號
瓦崎燒烤火鍋 西門店 - 燒肉鍋物吃到飽美食(人氣推薦必吃),3.7,476,餐廳,台北市萬華區,02 2383 0333,108台北市萬華區成都路17號2 樓
摩斯漢堡 (青年公園店),3.8,844,快餐,台北市萬華區,02 2305 5352,108台北市萬華區青年路42號
Flux by Fancia (Pet-Friendly),4.0,284,小餐館 (Bistro),台北市萬華區,02 2311 0008,10850台北市萬華區貴陽街二段7號1樓
凱達大飯店 百宴自助餐廳,3.8,"1,638",餐廳,台北市萬華區,02 2383 6788,108台北市萬華區艋舺大道167號5F
木屐桑壽司屋,4.2,200,壽司,台北市萬華區,02 2308 8995,108台北市萬華區西園路二段140巷9號
品鮨日式料理-萬大店,4.6,606,壽司,台北市萬華區,02 2303 5756,108台北市萬華區萬大路258號
映港式茶餐廳,4.2,281,中國菜,台北市萬華區,0909 292 198,108台北市萬華區西寧南路76號2樓
津富倉 手作港式蘿蔔糕 小籠湯包 小燒包,4.7,110,餐廳,台北市萬華區,0916 016 923,108台北市萬華區萬大路495號萬大路493巷口屈臣氏7-11旁
東興素食自助餐廳,4.6,157,素食料理,台北市萬華區,02 2305 0184,108台北市萬華區萬大路486巷59弄3號
彬佑四神湯,4.6,11,餐廳,台北市萬華區,NA,108台北市萬華區東園街28巷38號
薩莉亞 西門店,4.1,"5,294",意大利菜,台北市萬華區,02 2314 2237,108台北市萬華區峨眉街37號2樓
家鄉土羊專賣店,3.8,74,餐廳,台北市萬華區,02 2339 6511,108台北市萬華區萬大路343號
麻膳堂 MAZENDO (萬華桂林店),3.3,461,中菜館,台北市萬華區,02 2361 0335,108台北市萬華區桂林路1號家樂福 桂林店1樓
越南涼麵河粉,4.5,208,冷麵店,台北市萬華區,0961 180 777,108台北市萬華區東園街28巷51號
ㄧ級排骨,4.0,903,食堂與定食餐廳,台北市萬華區,02 2371 9739,108台北市萬華區成都路27巷11號地下一樓
旺角石頭火鍋,4.2,"3,751",火鍋,台北市萬華區,02 2388 0285,108台北市萬華區中華路一段74號
沐月精緻小火鍋西門店,4.3,330,火鍋,台北市萬華區,02 2312 0082,10842台北市萬華區中華路一段76巷11號
八海精緻鍋物 西門店HAKKAI SHABU SHABU-吃到飽火鍋(海鮮控必吃店),4.4,"2,565",火鍋,台北市萬華區,02 2361 6286,108台北市萬華區西寧南路72-1號號6F
進源蔬炸店,4.2,29,嚴格素食料理,台北市萬華區,0938 366 163,108台北市萬華區雙園街9號
樂麵屋 西門店,4.2,"2,443",拉麵,台北市萬華區,02 2381 9989,108台北市萬華區昆明街25號
滿漢牛肉麵食堂,4.0,361,中式麵食,台北市萬華區,02 2381 3999,"1樓, No. 22號武昌街二段50巷萬華區台北市108"
德昌蔬食早午餐,4.4,87,素食料理,台北市萬華區,0981 185 318,108台北市萬華區德昌街78號
華西街台南擔仔麵,4.2,416,台灣菜,台北市萬華區,02 2308 1123,108台北市萬華區華西街31號
德興廣東粥,4.2,86,餐廳,台北市萬華區,02 2338 0057,10859台北市萬華區西園路二段140巷4-1號
AoDai奧黛越南料理,4.5,299,越南菜,台北市萬華區,02 2309 3821,108台北市萬華區萬大路423巷24號
財興快餐,4.1,267,餐廳,台北市萬華區,02 2307 3698,108台北市萬華區寶興街96號
富宏牛肉麵,4.2,"12,942",中式麵食,台北市萬華區,02 2371 3028,108台北市萬華區洛陽街67-69號
福州新利大雅餐廳,3.7,343,中國菜,台北市萬華區,02 2331 3931,108台北市萬華區康定路70號1樓
蔴油李｜麻油雞、當歸豬腳、萬華美食、地方小吃,4.4,110,餐廳,台北市萬華區,0927 397 000,108台北市萬華區和平西路三段190號
圓禾素膳食府,4.3,219,素食料理,台北市萬華區,02 2307 9915,108台北市萬華區青年路152巷27號
辰光素食,4.6,18,素食料理,台北市萬華區,02 2338 1217,108台北市萬華區和平西路三段120號
馬辣頂級麻辣鴛鴦火鍋-漢口店,4.6,"5,006",火鍋,台北市萬華區,02 2311 9881,108台北市萬華區西寧南路30號2樓
雅香石頭火鍋（西門總店）,3.9,"3,248",火鍋,台北市萬華區,02 2381 0255,108台北市萬華區成都路159號
台灣松屋 台北 西門町店｜牛丼 萬華區 日本料理 蓋飯,3.5,"1,089",牛丼餐廳,台北市萬華區,NA,108台北市萬華區漢中街157號1樓
貳拾陸巷 Somebody Cafe,4.0,"1,137",咖啡店,台北市萬華區,02 2311 2371,108台北市萬華區成都路65號2樓
亞洲海產,4.0,211,海鮮,台北市萬華區,02 2301 6246,108台北市萬華區東園街66巷53弄50號
小南國,3.0,2,餐廳,台北市萬華區,NA,108台北市萬華區華西街21巷5號
The Aroma,4.6,337,咖啡店,台北市萬華區,02 2312 3533,108台北市萬華區漢中街205號
妳有咖啡 neo cafe,4.1,680,咖啡廳,台北市萬華區,02 2370 5174,108台北市萬華區武昌街二段83-9號號 2F
如意私房菜館,3.7,122,餐廳,台北市萬華區,02 2307 5194,108台北市萬華區萬大路423巷14號
海產粥,4.5,33,粥餐廳,台北市萬華區,NA,108台北市萬華區雙園街24號
黃記老牌燉肉飯,4.0,847,食堂與定食餐廳,台北市萬華區,02 2361 0089,108台北市萬華區漢口街二段25號
意心蓮素食館,4.4,120,嚴格素食料理,台北市萬華區,02 2302 1663,100台北市萬華區中華路二段165之2號
復興口麵線,4.0,132,餐廳,台北市萬華區,0920 362 140,108台北市萬華區東園街28巷42號
金香園便當,4.1,123,餐廳,台北市萬華區,02 2303 4086,108台北市萬華區東園街41號
大東園燒臘坊,4.1,114,台灣菜,台北市萬華區,02 2309 8258,108台北市萬華區東園街8號
蘋果203早午餐 Apple 203 Brunch,4.2,104,早午餐,台北市萬華區,02 2302 8228,108台北市萬華區西園路二段168號
福安餐廳,3.5,15,餐廳,台北市萬華區,02 2306 1783,108台北市萬華區西園路一段212巷40號
扒咖哩 バカレー,4.0,574,日式咖哩,台北市萬華區,0979 763 785,108台北市萬華區隆昌街3號
吉野家 西園店,3.4,189,牛丼餐廳,台北市萬華區,02 2306 6293,108台北市萬華區西園路一段214之2號
吉野家 西園店,3.4,189,牛丼餐廳,台北市萬華區,02 2306 6293,108台北市萬華區西園路一段214之2號
慧緣素食自助餐,4.5,20,素食料理,台北市萬華區,02 2303 9879,108台北市萬華區寶興街53號1樓
花現,4.8,5,早午餐,台北市萬華區,0985 263 180,108台北市萬華區桂林路92號
星河廳 - 豪景大酒店,3.9,34,中國菜,台北市萬華區,02 2311 3131,108台北市萬華區環河南路一段77號
榕樹下快炒,4.1,127,餐廳,台北市萬華區,0931 535 193,108台北市萬華區萬大路340號
幸福愛緹熊,3.9,190,意大利菜,台北市萬華區,02 2303 3202,108台北市萬華區東園街16-2號
大味王吃到飽火鍋,4.0,"1,968",火鍋,台北市萬華區,02 2337 9203,108台北市萬華區萬大路190號
京東園精緻全自助餐,3.8,482,中國菜,台北市萬華區,02 2301 1211,108台北市萬華區東園街28巷44號
聖賢素食館,4.3,65,嚴格素食料理,台北市萬華區,02 2305 9798,108台北市萬華區東園街6號
SOA SANDWICHES 營養三明治 鐵板吐司 專賣店,4.5,12,餐廳,台北市萬華區,0912 882 517,108台北市萬華區東園街151號
宜蘭大溪港現撈海鮮熱炒,3.7,678,海鮮,台北市萬華區,02 2381 7587,108台北市萬華區長沙街二段69號
客家梅干飯,4.1,22,台灣菜,台北市萬華區,0901 009 808,"號, No. 14華西街萬華區台北市108"
萬大汕頭麵,4.2,279,麵店,台北市萬華區,0918 676 680,108台北市萬華區萬大路486巷40號
POLAR CAFE,4.2,621,餐廳,台北市萬華區,02 2370 2223,10846台北市萬華區漢中街116號9樓
泰皇99泰皇泰緬雲南餐廳,4.0,423,泰國菜,台北市萬華區,02 2375 4133,"108台北市萬華區成都路54-2號1,2樓"
胖老爹美式炸雞（萬華東園店）,3.8,257,快餐,台北市萬華區,02 2332 5577,108台北市萬華區東園街75號
港九香滿樓,3.8,"1,731",廣東料理,台北市萬華區,02 2311 4663,108台北市萬華區峨眉街52號誠品生活 西門店5F
大城早午餐,4.5,83,早餐,台北市萬華區,02 2308 5878,108台北市萬華區桂林路18號
FANFANS CAFÉ 粉粉快閃主題餐廳 誠品武昌店,3.5,67,餐廳,台北市萬華區,02 2383 1549,108台北市萬華區武昌街二段77號2樓
豚骨拉麵 Nagi 凪 西門店,4.5,"4,508",拉麵,台北市萬華區,02 2370 2000,108台北市萬華區漢中街52號6樓
林家潁精緻麵店,3.9,77,麵店,台北市萬華區,02 2308 3456,108台北市萬華區中華路一段218號
昶鴻麵點,4.2,373,麵店,台北市萬華區,0982 187 604,108台北市萬華區華西街171號號攤
金麥子 酸菜白肉鍋,4.2,450,火鍋,台北市萬華區,02 2304 3236,108台北市萬華區中華路二段80號
e園排骨,3.6,131,餐廳,台北市萬華區,02 2302 7578,108台北市萬華區環河南路二段165號
巧沛東方美（東園店）,4.0,131,早午餐,台北市萬華區,02 2301 7578,108台北市萬華區東園街64號
淞品土雞專賣店-萬華門市,4.2,371,雞肉,台北市萬華區,02 2336 5382,10851台北市萬華區三水街84號捷運1號出口
榮記燒臘便當,4.0,274,餐廳,台北市萬華區,02 2332 2803,108台北市萬華區東園街28巷36號
一零一餐廳,3.2,13,餐廳,台北市萬華區,NA,108台北市萬華區三水街124號5 樓
復興口 赤肉鹹粥,4.2,88,粥餐廳,台北市萬華區,NA,108台北市萬華區東園街66巷37弄58-2號
歡喜無國界料理工作室,5.0,4,餐廳,台北市萬華區,02 2305 1393,108台北市萬華區萬大路423巷10弄2號之8號
豬腸冬粉,3.6,48,餐廳,台北市萬華區,0981 693 207,108台北市萬華區東園街28巷15號
大胖肉粥,3.4,36,台灣菜,台北市萬華區,NA,108台北市萬華區廣州街188號
周記肉粥店,3.8,"2,799",粥餐廳,台北市萬華區,02 2302 5588,108台北市萬華區廣州街104號
「原瀟湘園私家菜館」更名為「品湘園剁椒魚頭館」,4.0,360,湘菜館,台北市萬華區,02 2311 5803,108台北市萬華區中華路一段196號之1號品湘園剁椒魚頭館一樓
萬華鹹水雞肉,4.2,6,餐廳,台北市萬華區,0926 834 652,108台北市萬華區
